"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"24I3F9ME","journalArticle","1963","Kessler, Mm","Bibliographic Coupling Between Scientific Papers","American Documentation","","0096-946X","10.1002/asi.5090140103","","","1963","2015-04-20 11:44:10","2015-04-20 11:44:10","","10-&","","1","14","","","","","","","","","","English","","","","","Web of Science","","WOS:A19632554A00006","","/home/paul/.mozilla/firefox/quuvkujd.default-1395261540826/zotero/storage/S2BUAGCK/kessler-bibliographic-1963.pdf","","Bibliographic network mapping","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25397ZNA","journalArticle","2009","Vanloqueren, Gaëtan; Baret, Philippe V.","How agricultural research systems shape a technological regime that develops genetic engineering but locks out agroecological innovations","Research Policy","","0048-7333","10.1016/j.respol.2009.02.008","http://www.sciencedirect.com/science/article/pii/S0048733309000614","Agricultural science and technology (S&amp;T) is under great scrutiny. Reorientation towards more holistic approaches, including agroecology, has recently been backed by a global international assessment of agriculture S&amp;T for development (IAASTD). Understanding the past and current trends of agricultural S&amp;T is crucial if such recommendations are to be implemented. This paper shows how the concepts of technological paradigms and trajectories can help analyse the agricultural S&amp;T landscape and dynamics. Genetic engineering and agroecology can be usefully analysed as two different technological paradigms, even though they have not been equally successful in influencing agricultural research. We used a Systems of Innovation (SI) approach to identify the determinants of innovation (the factors that influence research choices) within agricultural research systems. The influence of each determinant is systematically described (e.g. funding priorities, scientists’ cognitive and cultural routines etc.). As a result of their interactions, these determinants construct a technological regime and a lock-in situation that hinders the development of agroecological engineering. Issues linked to breaking out of this lock-in situation are finally discussed.","July 2009","2014-09-21 02:42:09","2014-09-21 02:42:09","","971-983","","6","38","","Research Policy","","","","","","","","","","","","","","","","","","","Evolutionary economics; Lock-in; Path dependence; Technological trajectories; Transgenic plants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"266HWDUD","journalArticle","2011","Parsons, Jeffrey; Lukyanenko, Roman; Wiersma, Yolanda","Easier citizen science is better","Nature","","0028-0836","10.1038/471037a","http://dx.doi.org/10.1038/471037a","","2011-03-03","2012-12-30 23:47:44","2012-12-30 23:47:44","2012-12-20 00:06:55","37-37","","7336","471","","","","","","","","","","en","© 2011 Nature Publishing Group, a division of Macmillan Publishers Limited. All Rights Reserved.","","","","www.nature.com","","","","/home/paul/.mozilla/firefox/quuvkujd.default-1395261540826/zotero/storage/V9TD6Q85/parsons_easier_2011.pdf","","","Ecology51; Internet52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26QU4I5J","bookSection","1997","Jayasundara, H. P. S.; Thomson, B. D.; Tang, C.","Responses of Cool Season Grain Legumes to Soil Abiotic Stresses","Advances in Agronomy","0065-2113","","","http://www.sciencedirect.com/science/article/pii/S0065211308602424","This chapter discusses the responses of different cool season grain legumes to soil abiotic stresses and identifies the major limitations to plant growth. The chapter explores the extent of inter- and intraspecific genetic variation in response to soil abiotic stresses for most commonly cultivated cool season grain legumes. The chapter is mainly focused on experimental evidence directly relevant to cool season grain legumes, but in discussing principals examples from tropical grain legumes are considered. The major soil abiotic stresses are divided into five sections (acidity, salinity and sodicity, alkalinity, soil structural problems, and waterlogging). In each section, the responses of cool season grain legumes to a particular stress are discussed first and followed by the major factors contributing to reduced growth and yield. The effects of these factors on symbiotic nitrogen fixation are considered separately. Each section of this chapter concludes by considering the extent of intraspecific variation in response to particular stress factor for the major cool season grain legumes.","1997","2014-09-12 13:39:44","2014-09-12 13:39:44","2014-09-12 13:39:44","77-151","","","Volume 63","","","","","","","","Academic Press","","","","","","","ScienceDirect","","","","","","","","Donald L. Sparks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28XJII2C","journalArticle","2013","Alçiçek, Hülya; Jiménez-Moreno, Gonzalo","Late Miocene to Plio-Pleistocene fluvio-lacustrine system in the Karacasu Basin (SW Anatolia, Turkey): Depositional, paleogeographic and paleoclimatic implications","Sedimentary Geology","","0037-0738","10.1016/j.sedgeo.2013.03.014","http://www.sciencedirect.com/science/article/pii/S0037073813000602","Abstract The sedimentary record of the late Cenozoic Karacasu Basin, a long-lived continental half-graben from southwestern Turkey, is characterized by siliciclastic and carbonate deposits. Sedimentation was controlled by an active NW–SE trending major normal fault along the basin's southern margin and by climatically-induced lake-level changes. Detailed facies analysis subdivides the entire Neogene–Quaternary basin-fill into three distinct litostratigraphic units representing paleogeographic changes and sedimentation patterns throughout the basin evolution. Sedimentation commenced in the late Miocene with the deposition of proximal–medial alluvial fan and fluvial facies (Damdere Formation; FA1). At this stage, alluvial fans developed in elevated areas to the south, prograding towards the basin center. At the beginning of the Pliocene, fresh to slightly alkaline, shallow lake deposits (FA2a) of the Karacaören Formation formed. The lake became open and meromictic conditions developed (FA2b). Pollen data from the FA2b facies show that climate was arid to humid. Climate probably changed cyclically through time producing alternation of Artemisia steppe (cold and dry periods) and more forested vegetation (warm and wet). The open lake facies passes upwards into lake margin facies (FA2c), but it was still dominated by alkaline to slightly saline lake conditions. Sedimentation was almost continuous from the late Miocene to Pleistocene. In the early Quaternary, the basin was dissected by the re-activation of basin bounding faults. The unconformable base of the overlying Quaternary deposits (Karacasu Formation; FA3) reflected the basin's transformation from a half-graben into a full-graben system. Oxygen isotope data from carbonates show an alternation of humid climatic periods, when freshwater settings predominated, and semiarid/arid periods in which the basin hosted alkaline and saline water lakes. Neotectonic activity has rejuvenated many of the basin-bounding faults, causing development of talus aprons and local alluvial fans. The basin was progressively incised by modern rivers that have largely smoothed out the topographic relief of the graben margins.","June 1, 2013","2014-09-21 02:41:14","2014-09-21 02:41:14","","62-83","","0","291","","Sedimentary Geology","","","","","","","","","","","","","","","","","","","Continental basins; Neogene; Paleoclimate; Pollen; Stable isotopes; Western Anatolia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2A7ASVMT","journalArticle","2007","Bolinder, M.A.; Janzen, H.H.; Gregorich, E.G.; Angers, D.A.; VandenBygaart, A.J.","An approach for estimating net primary productivity and annual carbon inputs to soil for common agricultural crops in Canada","Agriculture, Ecosystems & Environment","","0167-8809","10.1016/j.agee.2006.05.013","http://www.sciencedirect.com/science/article/pii/S0167880906001629","The current interest in characterizing, predicting and managing soil C dynamics has focused attention on making estimates of C inputs to soil more accurate and precise. Net primary productivity (NPP) provides the inputs of carbon (C) in ecosystems and determines the amount of photosynthetically fixed C that can potentially be sequestered in soil organic matter. We present a method for estimating NPP and annual C inputs to soil for some common Canadian agroecosystems, using a series of plant C allocation coefficients for each crop type across the country. The root-derived C in these coefficients was estimated by reviewing studies reporting information on plant shoot-to-root (S:R) ratios (n = 168). Mean S:R ratios for annual crops were highest for small-grain cereals (7.4), followed by corn (5.6) and soybeans (5.2), and lowest for forages (1.6). The review also showed considerable uncertainty (coefficient of variation for S:R ratios of ∼50% for annual crops and ∼75% for perennial forages) in estimating below-ground NPP (BNPP) in agroecosystems; uncertainty was similar to that for Canadian boreal forests. The BNPP (including extra-root C) was lower for annual crops (∼20% of NPP) than for perennial forages (∼50%). The latter was similar to estimates for relative below-ground C allocation in other Canadian natural ecosystems such as mixed grasslands and forests. The proposed method is easy to use, specific for particular crops, management practices, and driven by agronomic yields. It can be readily up-dated with new experimental results and measurements of parameters used to quantify the accumulation and distribution of photosynthetically fixed C in different types of crops.","January 2007","2014-09-21 02:40:37","2014-09-21 02:40:37","","29-42","","1–4","118","","Agriculture, Ecosystems & Environment","","","","","","","","","","","","","","","","","","","Agroecosystems; C allocation; C inputs; Natural ecosystems; Roots; Uncertainty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FJGMWUB","bookSection","2014","Chauhan, Bhagirath Singh; Prabhjyot-Kaur; Mahajan, Gulshan; Randhawa, Ramanjit Kaur; Singh, Harpreet; Kang, Manjit S.","Chapter Two - Global Warming and Its Possible Impact on Agriculture in India","Advances in Agronomy","0065-2113","","","http://www.sciencedirect.com/science/article/pii/B9780124202252000029","Progress has been significant in climate science and the direct and indirect influences of climate on agricultural productivity. With the likely growth of the world's population toward 10 billion by 2050, demand for food crops will grow faster than demand for other crops. The prospective climate change is global warming (with associated changes in hydrologic regimes and other climatic variables) induced by the increasing concentration of radiatively active greenhouse gases. Climate models project that global surface air temperatures may increase by 4.0–5.8 °C in the next few decades. These increases in temperature will probably offset the likely benefits of increasing atmospheric concentrations of carbon dioxide on crop plants. Climate change would create new environmental conditions over space and time and in the intensity and frequency of weather and climate processes. Therefore, climate change has the potential to influence the productivity of agriculture significantly. Climate variability has also become a reality in India. The increase in mean temperature by 0.3–0.6 °C per decade since the 1860s across India indicates significant warming due to climate change. This warming trend is comparable to global mean increases in temperature in the past 100 years. It is projected that rainfall patterns in India would change with the western and central areas witnessing as many as 15 more dry days each year, whereas the northern and northwestern areas could have 5 to 10 more days of rainfall annually. Thus, dry areas are expected to get drier and wet areas wetter. It is projected that India's population could reach 1.4 billion by 2025 and may exceed China's in the 2040s. If agricultural production is adversely affected by climate change, livelihood and food security in India would be at risk. Because the livelihood system in India is based on agriculture, climate change could cause increased crop failure and more frequent incidences of pests. Therefore, future challenges will be more complex and demanding. This chapter focuses on the variability of climate change and its probabilistic effects on agricultural productivity and adaptation and mitigation strategies that can help in managing the adverse effect of climate change on agricultural productivity, in particular for India.","2014","2014-09-12 13:39:44","2014-09-12 13:39:44","2014-09-12 13:39:44","65-121","","","Volume 123","","","","","","","","Academic Press","","","","","","","ScienceDirect","","","","","","","Adaptation strategies; Agriculture; Global warming; Greenhouse gas","Donald L. Sparks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2MNQPP8W","journalArticle","2012","Voytenko, Y.; Peck, P.","Organisational frameworks for straw-based energy systems in Sweden and Denmark","Overcoming Barriers to Bioenergy: Outcomes of the Bioenergy Network of Excellence 2003 – 2009","","0961-9534","10.1016/j.biombioe.2011.01.049","http://www.sciencedirect.com/science/article/pii/S096195341100064X","This discussion highlights and defines key factors and organisational structures for the transformation of local agro-biomass based bioenery systems in Sweden and Denmark. Cross case study analysis is applied to 13 examples where straw is used for energy at various scales within a conceptual framework developed by the authors. This also delivers a cross-country comparison of systems and of the stakeholder entrepreneurs involved in straw-to-energy activities. The paper then delineates four different types of agro-biomass based frameworks for organisation and action. These include ‘small scale local heat production’, ‘medium scale local heat provision with excess for sale’, ‘medium scale conversion and district heating’, and ‘large scale power or combined heat and power generation’. Three categories of farm-based entrepreneurs (i.e. pluriactive, resource exploiting and portfolio farmer) emerge from case studies and are described in the paper.","March 2012","2014-09-21 02:41:55","2014-09-21 02:41:55","","34-48","","0","38","","Biomass and Bioenergy","","","","","","","","","","","","","","","","","","","Agroenergy farm; Business issue; Innovative concepts; Stakeholders; Strategies; Straw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2MRJH374","journalArticle","1996","Piper, Jon K.; Handley, Mary K.; Kulakow, Peter A.","Incidence and severity of viral disease symptoms on eastern gamagrass within monoculture and polycultures","Agriculture, Ecosystems & Environment","","0167-8809","10.1016/0167-8809(96)01061-4","http://www.sciencedirect.com/science/article/pii/0167880996010614","Sugarcane mosaic virus strain maize dwarf mosaic virus B (SCMV-MDMV-B) and maize dwarf mosaic virus (MDMV) are aphid-vectored potyviruses that infect eastern gamagrass (Tripsacum dactyloides (L.) L.), a perennial grain which has potential as a human or animal foodstuff. The potential to manage these diseases through intercropping eastern gamagrass with other, non-host perennial species was examined by monitoring incidence and severity on eastern gamagrass within experimental monocultures, two-species mixtures with wildrye (Leymus racemosus (Lam.) Tsvelev), two-species mixtures with Illinois bundleflower (Desmanthus illinoensis (Michx.) MacM., Leguminosae), and three-species mixtures with wildrye and Illinois bundleflower at two sites in Kansas, USA, from 1991 to 1995. Wildrye and bundleflower, which are also potential grain crops, are not reported to be hosts of the viruses. At Site 1, in 1991 and 1992, disease was generally less frequent and less severe in biculture with bundleflower and in the three-species mixture than in monoculture or the biculture with wildrye. No treatment effects were observed at Site 2. Disease severity was negatively correlated with plant size and seed yield at Site 1. Seed yield per plant was generally higher in polyculture than in monoculture. The results suggest polyculture may contribute to the management of aphid-borne plant disease within plantings of perennial grains.","October 1996","2014-09-21 02:40:14","2014-09-21 02:40:14","","139-147","","3","59","","Agriculture, Ecosystems & Environment","","","","","","","","","","","","","","","","","","","Aphid vector; Eastern gamagrass; Mosaic virus; Perennial grains; Plant disease; Polyculture; Tripsacum dactyloides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NPIFJ23","journalArticle","2013","Pfeifer, Matthias; Martis, Mihaela; Asp, Torben; Mayer, Klaus F. X.; Luebberstedt, Thomas; Byrne, Stephen; Frei, Ursula; Studer, Bruno","The Perennial Ryegrass GenomeZipper: Targeted Use of Genome Resources for Comparative Grass Genomics","PLANT PHYSIOLOGY","","0032-0889","10.1104/pp.112.207282","","Whole-genome sequences established for model and major crop species constitute a key resource for advanced genomic research. For outbreeding forage and turf grass species like ryegrasses (Lolium spp.), such resources have yet to be developed. Here, we present a model of the perennial ryegrass (Lolium perenne) genome on the basis of conserved synteny to barley (Hordeum vulgare) and the model grass genome Brachypodium (Brachypodium distachyon) as well as rice (Oryza sativa) and sorghum (Sorghum bicolor). A transcriptome-based genetic linkage map of perennial ryegrass served as a scaffold to establish the chromosomal arrangement of syntenic genes from model grass species. This scaffold revealed a high degree of synteny and macrocollinearity and was then utilized to anchor a collection of perennial ryegrass genes in silico to their predicted genome positions. This resulted in the unambiguous assignment of 3,315 out of 8,876 previously unmapped genes to the respective chromosomes. In total, the GenomeZipper incorporates 4,035 conserved grass gene loci, which were used for the first genome-wide sequence divergence analysis between perennial ryegrass, barley, Brachypodium, rice, and sorghum. The perennial ryegrass GenomeZipper is an ordered, information-rich genome scaffold, facilitating map-based cloning and genome assembly in perennial ryegrass and closely related Poaceae species. It also represents a milestone in describing synteny between perennial ryegrass and fully sequenced model grass genomes, thereby increasing our understanding of genome organization and evolution in the most important temperate forage and turf grass species.","February 2013","2015-06-01 16:22:21","2015-06-01 16:22:21","","571-582","","2","161","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
