"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RSVDU8GT","journalArticle","1936","ALDANOV, A. D.","25 years work of Saratov Central Station of plant-breeding and genetics.","Sotsialisticheskoe Zernovoe Khozyaistvo","","","","","Among the achievements of the station in wheat breeding one of the most outstanding referred to is the production of the spring wheat Lutescens 062 by individual plant selection. This variety has yielded an average of 14.3 c. per ha. over a period of nineteen years and on account of its drought resistance has outyielded the local "" Poltavka "" in the seven worst drought years by 34.2 per cent. Various other varieties both of T. vulgare and T. durum have been produced by the same method, e.g.-Erythrospermum 0341 and T. durum hordeiforme 0432. By interspecific crossing the famous varieties Sarrubra and Sarrosa have been obtained from crosses of T. vulgare (Poltavka) and T. durum (Beloturka). These varieties are distinguished by their high drought resistance; in yield they have surpassed the two parents by 25.4 and 32.1 per cent respectively and are more or less equal to Lutescens 062, which they distinctly excel in milling and baking quality. Sarrubra is free from shedding when standing in the field and is suitable for combine harvesting; the area under this variety is constantly increasing. Other promising hybrids have been produced from later crosses of the same combination of species. Among these is an awnless T. durum equal to the standards in yield and earlier in maturity. Promising results have also been obtained from interracial crosses in T. vulgare and certain varieties resistant to smut and leaf rust have been produced. In winter wheat equally successful results have been obtained. The variety Lutescens 0329 is characterized by exceptional cold resistance, and is closely followed by Lutescens 1060/10; these two varieties have made possible a considerable extension of wheat cultivation in the lower Volga basin. Various newer hybrids are equally, if not more, promising. Many of the hybrids with rye are highly promising in respect of cold and drought resistance, yield and grain quality. The main characteristics of the forms that have proved most popular in cultivation are described. Some of them are equal to rye in earliness of maturity and exceed the standard wheat varieties in yield. They are being further crossed among themselves and with winter wheat and the amphidiploids obtained are also being used in crossing. Perennial rye is also being crossed with winter wheats in the attempt to produce perennial wheats. The same object is pursued in the crosses between Agropyrum and wheat. Some of these hybrids are at the same time possessed of great winter-hardiness and resistance both to drought and to many fungous diseases, and are also tolerant of very unfavourable growth conditions. The hybrids of A. elongaium contain the highest proportion of perennial plants in the later generations. Valuable hardy lines of both annual and perennial type have been isolated and some of these are now in the stage of variety testing. Sunflowers resistant to Orobanche and also to moth and drought have been produced by selection. A valuable new form, No. 169, possesses in addition to these characters, high yielding ability and ripens in 95-104 days, giving also a satisfactory oil content. An early variety ripening in 78 days, also resistant to Orobanche and moth has been selected, and various interesting lines have been obtained by inbreeding. One of these, No. 137 is superior both in yield and oil content and is at the same time rust-resistant. Sunflower crosses have been made, including one between the variety No. 169 and the perennial wild species Helianthus divaricatus; the hybrids are resistant to drought, rust and other fungous diseases, and include a perennial oil form which is receiving attention. Improved strains of rye have been selected and constant lines have been obtained by inbreeding which exceed the standard in yield by 6 to 60 per cent. Crosses have been effected also between rye and Agropyrum Cristatum. Millet has been subjected to selection and improved lines produced, including one No. 853, which is drought-resistant, uniform in ripening, free from shedding, good in grain quality, and unusually high in yield.","1936","2015-06-03 04:39:42","2015-06-03 06:40:45","","131-42","","2","6","","","","","","","","","","","","","","","","","CABI:19371600085","","","","relevant; search.rye; search.wheat; SPV; TS=(perennial NEAR/1 (rye OR secale) NOT ""rye$grass""); TS=(perennial NEAR/1 (triticum OR wheat)); Web of Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRDBJGC5","journalArticle","1946","RJAZAXOV, JA I.","A brief summary of the results and problems in the research work of the Institute of Grain Husbandry in the South-East of the U.S.S.R.","Sotsialisticheskoe Zernovoe Khozyaistvo","","","","","The overriding consideration in plant breeding for the South-Eastern regions of the U.S.S.R. is drought. Comparative analyses have been made of the meteorological conditions over a period of years and of the yields of winter rye and spring wheat, and it has been possible to define those conditions which lead to the best yields in each. The influence of various cultural measures, rotations and other operations on moisture conservation has been studied by the Saratov institute. A number of new and improved varieties suitable for these conditions have been produced and are described The spring wheat Lutescens 15/12 is a product of complex hybridization, characterized by rapid development of the root system and rapid gain in dry weight in the developing grain; it is free from shedding, high in grain quality and exceeds Sarrubra in yield by up to 5 c. per ha. The spring wheat Albidum 43, the most drought resistant yet produced, is also a product of complex hybridization, and has a high rate of development of the primary and secondary roots, rapid filling of the grain and very uniform grain; it is free from shedding and has exceeded the standard by 2-2.5 c. per ha. in yield New spring wheats for irrigated land are Lutescens 605 and 758, and the best winter wheat yet produced is the rye-wheat hybrid Lutescens 230, distinguished by its winter hardiness, standing capacity, and large vitreous grains of high baking quality. Good results have been obtained with new varieties of other crops, such as Volzanka No. 7 winter rye; sunflowers with improved oil content such as Saratov No. 19, P-10, P4 and P-27, the last being a very early variety maturing in 77 days; and the millet Saratov Cream 311, characterized by a high extraction rate of 85%. Five perennial wheat selections from Triticum * Agropyron hybrids are under observation.","1946","2015-06-03 04:45:02","2015-06-03 04:45:02","","5-25","","1","","","","","","","","","","","","","","","","","","CABI:19481601326","","","","relevant; search.wheat; SPV; TS=(perennial NEAR/1 (triticum OR wheat)); Web of Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RPHJXGIP","journalArticle","2001","Afsana, Nadira; Islam, Zahirul","Abundance of ladybird beetles in irrigated rice environment in Bangladesh, diurnal activity pattern of Micraspis discolor (Fab.) and its influence on rice grain sterility.","Bangladesh Journal of Entomology","","1021-1004","","","Five species of ladybird beetles viz., Micraspis discolor (Fab.), M. crocea Mulsant, Coccinella transversalis Fab., C. septempunctata Linn. and Brumoides suturalts (Fab.) (Coccinellidae: Coleoptera) were found in irrigated rice fields at Gazipur in Bangladesh. Among them Micraspis discolor was the most dominant species comprising about 92.9% of the total ladybird beetle populations. Their relative abundance was highest in the rice fields with ponding water (37.73 %), followed by rice fields without ponding water (22.05%), rice seedbed (12.50%), grassy fallow fields (10.23%), fields with rice ratoons (7.95%), grassy road-sides (6.59%), and the least on rice bunds with grasses (2.95%). Micraspis discolor appeared to prefer rice than grasses, and rice fields with water than without water. At the flowering stage, adult M. discolor remained active on the rice panicle throughout the day but its abundance was influenced by some physical factors. It appeared that temperature and sunlight had positive influence, and rainfall and relative humidity had negative influence on the abundance of adult M. discolor on rice panicles. Observations indicated that sampling of M. discolor on emerging rice panicles can be done at any time of the day except during rain. At the flowering stage they fed on rice pollen, but their feeding even by high populations (20 adults/hill) did not cause grain sterility.","June-December  2001","2015-06-03 04:49:36","2015-06-03 04:49:36","","55-66","","1-2","11","","","","","","","","","","","","","","","","","ZOOREC:ZOOR13900002232","","","","relevant; search.rice; SPV; TS=(ratoon* NEAR/5 (oryza OR rice)); Web of Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJ2AUP5E","journalArticle","2013","Lin, S.-C.; Chang, T.-K.; Huang, W.-D.; Lur, H.-S.; Shyu, G.-S.","Accumulation of arsenic in rice plant: a study of an arsenic-contaminated site in Taiwan","Paddy and Water Environment","","16112490 (ISSN)","10.1007/s10333-013-0401-3","http://www.scopus.com/inward/record.url?eid=2-s2.0-84922834684&partnerID=40&md5=9587fd48c8e5595a4de60d3fc068d89d","A study conducted in 2006 showed that over 100 ha of rice paddies in Beitou, Taiwan, irrigated over the years using water mixed with hot spring, was heavily polluted by arsenic. Thus, the objective of the present study is to measure arsenic content in different parts of rice and paddy soils, and eventually explain the arsenic distribution in ratoon rice, including its relationship to the soil. Arsenic levels of rice in grains, straws, roots, and soils were obtained from 15 rice paddies, selected based on different arsenic soil concentrations ranging from 67 to 438 mg kg(-1) (n = 15). The mean arsenic content in grains was measured at 0.20 mg kg(-1) (n = 60) and the highest grain arsenic of the survey was at 1.183 mg kg(-1). Meanwhile, the mean total arsenic levels were 244 mg kg(-1) (n = 28) in root and 4.4 mg kg(-1) (n = 28) in straw. In comparison, regression of topsoil arsenic levels with rice grains (r (2) = 0.00) and straws (r (2) = 0.56) were less significant compared to that with rice roots (r (2) = 0.93), and the mean arsenic level in rice from root to grain was also shown to have a decreasing trend. Though concentrations of arsenic in compositive rice grain each field did not exceed food hygiene concentration limit, arsenic level in root strongly depended on arsenic concentrations of soil suggesting that the high arsenic concentration may have the potential for translocation from root to grain which ultimately effects on the human health.","2013","2015-06-03 04:09:13","2015-06-03 06:42:22","","11-18","","1","13","","Paddy Water Environ.","","","","","","","","English","","","Scopus","","","","","","","","ALL(ratoon* W/5 (oryza OR rice)) AND DOCTYPE (ar); Arsenic; Arsenic concentration; Arsenic-contaminated sites; Arsenic content; Chemical contamination; Concentration limits; Food safety; FPXRF; Grain (agricultural product); Hot springs; relevant; Rice; Scopus; search.rice; Soil concentrations; Soil contamination; soil pollution; soils; SPV; TS=(ratoon* NEAR/5 (oryza OR rice)); Web of Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QDEZMSFP","journalArticle","2004","Acharya, S.N.; Mir, Z.; Moyer, J.R.","ACE-1 perennial cereal rye","Canadian Journal of Plant Science","","0008-4220","","http://www.scopus.com/inward/record.url?eid=2-s2.0-7044235171&partnerID=40&md5=af46e39a5ed759409ae21e54c60a0a8c","ACE-1 perennial cereal rye (PC rye) (Secale cereale) was developed by the Agriculture and Agri-Food Canada Research Centre, Lethbridge, Alberta. This cultivar, tested as LRC 96-1 in western Canada, was developed for silage and greenfeed. ACE-1 is easy to establish, competes well with weeds, grows early in spring, produces more biomass than barley and fall rye under dryland and irrigated conditions, but produces less seed than high yielding fall rye cultivars. Forage quality of ACE-1 was found to be similar to barley.","2004","2015-06-03 05:58:45","2015-06-03 06:42:53","","819-821","","3","84","","Can. J. Plant Sci.","","","","","","","","English","","","Scopus","","","","WOS:000223882000020","","","","ALL(perennial W/1 (rye OR secale) AND NOT (""rye grass"" OR ""rye-grass"" OR ryegrass)) AND DOCTYPE(ar); Canada; Cereal; crop performance; cultivar; Cultivar description; Hordeum vulgare subsp. vulgare; North America; Perennial; relevant; Rye; Scopus; search.rye; Secale cereale; Silage; SPV; TS=(perennial NEAR/1 (rye OR secale) NOT ""rye$grass""); Web of Science; Western Hemisphere; World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZFVR824I","journalArticle","1967","CICIN, N. V.","Achievements and tasks of Soviet plant breeding.","Selektsiya i semenovodstvo","","","","","In 1966, there were 225 approved cultivars of wheat, the most outstanding of which are described. Other achievements are sunflowers with high oil content and immunity to a number of diseases and pests, resulting from interspecific crosses. Of the 30 promising maize hybrids, a number are derived from male-sterile parents and corresponding wheat hybrids show yield increases of 30-40%; all the Triticum-Agropyron hybrids excel the standards in standing capacity and recent ones such as PPG391 and PPG56 yield over 40 c. per ha. without lodging; PPG172 is also resistant to drought, shedding and brown and yellow rust, yielding up to 55.4 c. per ha. under irrigation. The advantages of polyploidy are exemplified by triploid sugar beets, tetraploid rye and rye-wheat amphidiploids; three perennial Triticum-Agropyron hybrids give 2-3 yields without resowing and are resistant to frost and disease, though yielding less grain than the common wheat cultivars; a description is given of 1345, which, when sown in autumn, gives three crops of hay with a protein content of 12-14%, the total yield of which is 90-100 c., after which it can be grazed; other Triticum-Agropyron hybrids, with branching ears, contain over 100 grains per ear. A perennial rye, Pervenec [Firstborn], gives a crop in three successive years almost equal to that from normal rye. Incompatibility has been overcome in interspecific tobacco crosses by polyploidy, in crosses of cabbage with radish by grafting, which also induces flowering in the first year; an interspecific potato hybrid contains 23-5% starch and 3% protein; successful cultivars of pea and French bean have been produced by interspecific hybridization and others by crossing between ecotypes.","1967","2015-06-03 04:37:37","2015-06-03 06:42:58","","5-14","","5","","","","","","","","","","","","","","","","","","CABI:19681601994","","","","relevant; search.rye; search.wheat; SPV; TS=(perennial NEAR/1 (rye OR secale) NOT ""rye$grass""); TS=(perennial NEAR/1 (triticum OR wheat)); Web of Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VN7NHAAR","journalArticle","1985","Chang, Jen-Hu","A climatological analysis of yield difference between the first and second rice crop in Taiwan","Agricultural and Forest Meteorology","","0168-1923","10.1016/0168-1923(85)90003-6","http://www.sciencedirect.com/science/article/pii/0168192385900036","Temperature, solar radiation and daylength exert different effects on the growth of rice during successive stages of development and consequently the four yield components which add up to the final yield. In this study stepwise correlation between these climatic parameters during the three phases of rice development and the first and second rice crop yields in four regions in Taiwan has been analyzed. The result indicates that solar radiation during the reproductive and ripening phases is the major factor determining rice yield. The much lower yield of the second rice crop than the first one is primarily caused by the extremely low solar radiation during the second season, particularly in northern and eastern Taiwan.","December 1985","2015-06-03 22:09:00","2015-06-04 13:58:30","2015-06-03 22:09:00","113-120","","2","36","","","","","","","","","","","","","","","ScienceDirect","","","","","","relevant; search.rice; SPV; TS=(ratoon* NEAR/5 (oryza OR rice)); Web of Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4JMPUCE","journalArticle","1945","SOULIER, E. J.","A composite perennial Elymus-wheat-Agropyrum hybrid.","Doklady Akademii nauk SSSR","","","","","Descriptions are given of two hybrid plants obtained by pollinating a sterile F 4 perennial Triticum x Agropyron hybrid with pollen from Elymus giganteus. The two hybrids resembled E. giganteus. in general plant habit, rhythm of development, the creeping habit of the root system, and in leaf and stem structure. The chromosome number of the maternal hybrid was 2n = 48, while that of the hybrid was 2n = 52. Since 2n = 28 in Elymus giganteus, it is inferred that an unreduced gamete of this species took part in the fertilization.","1945","2015-06-03 04:45:10","2015-08-31 15:57:24","","578-79","","","47","","","","","","","","","","","","","","","","","CABI:19461601284","","","","relevant; search.wheat; SPV; TS=(perennial NEAR/1 (triticum OR wheat)); Web of Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPTQAFG5","journalArticle","1936","HIZNJAK, V. A.","A cyto-genetical study of Triticum X Agropyron hybrids and the trend in breeding perennial wheat. Preliminary communication.","Trudy Azovo-Cernomor. Selek-cent.","","","","","Sterility of the F 1 hybrids between Triticum and Agropyron is due to (1) frequent anomalies in pre-meiotic and mitotic divisions of the pollen mother-cells, (2) incomplete and casual conjugation of chromosomes, the number of bivalents varying from 0 to 2 ( T. durum X 28 chromo- some A. intermedium) to 19 to 23 ( T. vulgare x A. elongatum) and (3) irregular pollen-grain division. The degree of self-fertility varies however with parental forms; all hybrids between Triticum and A. intermedium are self-sterile, as are the hybrids between hard wheat and A.-elongatum, but a part of the hybrids between soft wheat and A. elongatum are self-fertile. The triple hybrids are relatively easily obtained by crossing F 1 to one of the parents. The data on the second generation concern chiefly the hybrids between wheat and A. intermedium, the majority of which were obtained by fusion of the male gametes with unreduced gametes of the F 1. Among sesquidiploids a forty-two chromosome plant was obtained, and among triple hybrids (F 1 X T. vulgare) forty-six and fifty-four chromosome plants were found; these plants resemble wheat, but they are perennial, Among F 2 plants (chiefly the triple hybrids) some lethal specimens with deficient chlorophyll were found. Both wheat sesquidiploids and those of couch grass are perennial and partly fertile. In reduction division of triple hybrids between T. dumm x 48 chromosome A. intermedium and A. vulgare, fourteen to twenty-one bivalents were counted and in the triple hybrid between T. durum X 48 chromosome A. intermedium and A. elongatum the number of bivalents was twenty-one. This suggests that the genomes A, B and D of wheats are homologous, though modified, with the respective Agropyron genomes. The Agropyron genomes X 1 and X 2 are not found in wheat; their relation to those of Aegilops has not yet been shown. The main trend of obtaining perennial wheat is thought to be through producing sesquidiploids which contain a haploid set of wheat and some Agropyron chromosomes. Fusion of these gametes will give plants with a diploid set of Triticum and Agropyron and a haploid set of Agropyron chromosomes; in these plants some of the Agropyron chromosomes will be univalents; selection of forms without univalents will give constant fertile forms. Triple hybrids might also give valuable forms, and finally obtaining amphidiploids by crossing wheat sesquidi-ploids with those of Agropyron should produce valuable forage plants.","1936","2015-06-03 04:46:00","2015-06-04 08:56:43","","25-30","","1","","","","","","","","","","","","","","","","","","CABI:19370700935","","","","relevant; search.wheat; SPV; TS=(perennial NEAR/1 (triticum OR wheat)); Web of Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5V9V7AS7","journalArticle","1957","CAUDERON, M. Y.","A cyto-genetic study of a trigeneric hybrid involving T. dicoccum Schrank, A., intermedium Host. P.B. and S. cereale L.","Bull. Soc. Pharm. Bordeaux","","","","","Attempts were made to cross the two amphi-diploids, T. timopheevi x A. intermedium, and T. dicoccum x A. intermedium with diploid S. secale used as the pollen parent. In the former case, six seeds were obtained from the 104 flowers pollinated but no progeny was raised. Five seeds were gained from 288 pollinations in the second case; five hybrids were raised. These plants had chromosome numbers of 2n = 42, 14 chromosomes having been obtained from Triticum, 21 from Agropyron and seven from Secale. Root-tip nuclei at interphase showed the chromocentric structure characteristic of Secale. Meiotic behaviour was studied in one hybrid; the average metaphase configurations of 100 cells were 34.26 I + (2.95 IId + 0.08 IIa) + 0.56 III. There were 0.56 chiasmata per conjugated chromosome. These results were compared with those of the F 1 of T. dicoccum x A. intermedium; in this case the average configurations were 24.37 r + (3.87 IId + 0.25 IIa) + 77 III + 0.02 iv. There was no apparent pairing between the chromosomes of Secale and those of the other two species; most of the chromosome associations arose from auto-syndesis of the Agropyron chromosomes. It was often possible to distinguish the Secale chromosomes amongst the univalents. Other aberrations typical of intergeneric hybrids were also observed.The hybrids were completely sterile even under conditions of open pollination. They showed great vigour; in their habit the hybrids resembled Agropyron from which they also inherited certain characteristics of the glume and the property of being perennial. From Secale the hybrids had inherited the hairy collar of the ear. In their late ripening, they resembled both Triticum and Agropyron. In other ear characters the hybrids were intermediate between the parent forms.","1957","2015-06-03 04:38:24","2015-06-03 04:38:24","","145-47","","","96","","","","","","","","","","","","","","","","","CABI:19591601384","","","","relevant; search.rye; SPV; TS=(perennial NEAR/1 (rye OR secale) NOT ""rye$grass""); Web of Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
