replacement,replace
Selektsiia I Semenovodstvo,Selektsiya i semenovodstvo
Selektsiia I Semenovodstvo,Selektsiya i Semenovodstvo (Kiev)
Selektsiia I Semenovodstvo,"Selektsiya i Semenovodstvo, USSR"
Selektsiia I Semenovodstvo,Selektsi I Semenovodstvo [plant Breeding and Seed Growing]
Selektsiia I Semenovodstvo,Selektzia I Semenovodstvo [plant Breeding and Seed Growing]
Selektsiia I Semenovodstvo,Selektsiia I Semenovodstvo [plant Breeding and Seed Growing]
Agronomy Journal,Agronomy journal
Bioenergy Research,BioEnergy research
Theoretical and Applied Genetics,Theoretical and applied genetics
"Agriculture, Ecosystems and Environment",Agriculture Ecosystems & Environment
"Agriculture, Ecosystems and Environment","Agriculture, Ecosystems & Environment"
Crop Science,Crop science
Crop Science,Crop Sci
Crop Management,Crop management
Journal of the Agricultural Science Society of North East India,Journal of the Agricultural Science Society of North-East India
Journal of Heredity,Journal of heredity
Acta Agriculturae Scandinavica Section B-Soil and Plant Science,Acta Agriculturae Scandinavica - Section B Soil and Plant Science
Zemledelie,Zemledeliie
Doklady Akademii nauk SSSR,Doklady Akad Nauk Sssr [bot Sci Sect Transl]
Doklady Akademii nauk SSSR,Doklady Akad Nauk Sssr
"Dissertation Abstracts International, B (Sciences and Engineering)","Dissertation Abstracts International. B, Sciences and Engineering"
"Dissertation Abstracts International, B (Sciences and Engineering)","Dissertation Abstracts International, B"
Acta Agronomica Sinica,Acta Agric. sinica
Pesquisa Agropecuária Brasileira,Pesquisa Agropecuaria Brasileira
Journal of Agricultural Science,Journal of Agricultural Science (Toronto)
Turkish Journal of Agriculture and Forestry,Turkish Journal of Agriculture & Forestry
National Science Council Monthly,National Science Council Monthly.
Journal of Applied Botany,Angewandte Botanik
Zapiski Leningradskogo Sel'sko-khozyaistvennogo Instituta,Zapiski Leningrad-skogo Sel' skokhozyaistvennogo Instituta
Agronomia Tropical,Agronomia Tropical (Maracay)
Agronomia Tropical,Agron. trop.
Genetika,Genetika (Moskva)
"Trudy po Prikladnoi Botanike, Genetike i Selektsii",Trudy prikl. Bol. Genet i Selekcii. Ser.
"Trudy po Prikladnoi Botanike, Genetike i Selektsii",Trudy prikl. Bot. Genet i. Selekcii. Ser.
"Trudy po Prikladnoi Botanike, Genetike i Selektsii",Trud. priklad. Bot. Genet. Selekc. (Trans. appl. Bot. Genet. PL-Breed.)
"Journal of Food, Agriculture and Environment",Journal of Food Agriculture & Environment
Socialisticeskoe Zernovoe Hozjaisivo,Social. Zern. Hoz. 1938.
Journal of Agronomy and Crop Science,Journal of Agronomy and Crop Science-Zeitschrift Fur Acker Und Pflanzenbau
Sel'skokhozyaistvennaya Biologiya,Sel'sko-khozyaistvennaya Biologiya
Sel'skokhozyaistvennaya Biologiya,Seleckija i Semenovodstvo (Breeding & Seed-growing.
Trudy Zonal Inst Zernovovo Khosiaistva Nechernozemnoi Polosy Sssr,Trudy Zonal Inst Zernovovo Khoziaistva Necherozemnoi Polosy Sssr
Trudy Zonal Inst Zernovovo Khosiaistva Nechernozemnoi Polosy Sssr,Trudy Ukrain Nauch Issled Inst Rastenievodstva Selektsii I Genet
Trudy Zonal Inst Zernovovo Khosiaistva Nechernozemnoi Polosy Sssr,Trudy Zonal Inst Zernovovo Khoziaistva Nechernozemnoi Polosy Sssr
Soil Science,Soil Science Society of America Journal
Soil Science,Soil Science Society of America
Sotsialisticheskaya Rekonstruktsiya sel'skogo khozyaistva,Sotsialisticeskaja Rekonstruktsija Sel'skogo Khozjaistva (Socialist   Reconstruction of Agriculture)
Byull Moskov Obshch Ispytat Prirody Otdel Biol,Byul Mosk Obshch Ispytat Prirody Otd Biol
Journal of Fujian Agricultural University,Journal of Fujian Agricultural College
